MessageID,Verdict,Received
<174346181760.9548.6378591020151554557@buytrckcenter.com>,phishing,2025-03-31T22:57:16Z
<471b2b66-03c3-483b-a9ec-f1a68008e557@mtl-mta03-out2>,phishing,2025-03-31T22:57:09Z
<CAB7yGwuFnH7mVQN2eOf1aqbFMW8VrEGv-W8Kia8Fr2ca6zG4FQ@mail.gmail.com>,scam,2025-03-31T22:53:50Z
<mid-0b546f6fe0c8d58880d0be28fdb2d463-2598@free.dailyfreeemail.com>,phishing,2025-03-31T22:50:33Z
<20250331224901.137f4547bce42edf@business1.theinsurancequoter.com>,phishing,2025-03-31T22:49:05Z
<1594944262.476261.1743461289053.JavaMail.zimbra@btcmail.co.bw>,scam,2025-03-31T22:48:29Z
<20250331224729.0f8a8e0e5e33febf@business3.theinsurancequoter.com>,phishing,2025-03-31T22:47:34Z
<05ae857b-510c-4f79-a83c-c2f45132a5ac@joccee.org>,bec,2025-03-31T22:47:14Z
<ad732f43-8951-4162-b8ab-a7ad8386cafa@ajoop.net>,bec,2025-03-31T22:46:09Z
<0118b682-4a14-4c31-b102-f90c2693f9dd@mtl-mta03-out2>,phishing,2025-03-31T22:44:42Z
<DVMSFSJWILQMTEWDKGH.YHWCYTELMTQHQDPORDS.KMBVUIUQJQBEBRKBHKX@zsydt.com>,phishing,2025-03-31T22:43:28Z
<0d2f3e69-e9ed-4407-aa62-9c8f63c7b512@icphms.org>,bec,2025-03-31T22:42:56Z
<123a0655-a0c9-4fa3-a2d7-9b813f4fb132@mtl-mta03-out2>,phishing,2025-03-31T22:40:46Z
<PVCGTSKVKZXCODDINLJ.IIPNYTBBZWBASHNVEEF.BJLPGLHZMTOPNJRVRZD@zsydt.com>,phishing,2025-03-31T22:40:40Z
<20250331223905.6c82db6e4b483c87@business3.theinsurancequoter.com>,phishing,2025-03-31T22:39:11Z
<202503312236.52VMZwDx027524-52VMZwE1027524@FMKlb.kienlongbank.com>,scam,2025-03-31T22:36:57Z
<BE.7A.36042.9E81BE76@i-022bebcbd197e30e6.mta1vrest.sd.prd.sparkpost>,phishing,2025-03-31T22:36:49Z
<202503312235.52VMZl7R027508-52VMZl7T027508@FMKlb.kienlongbank.com>,scam,2025-03-31T22:36:34Z
<CANDWeS4ZCLTi__yyCcE_opJA_M7XtF4HHG+7K=yr7-AwkAMB=w@mail.gmail.com>,scam,2025-03-31T22:32:23Z
<7svcmmmubdco5v4m6xqjieeie.0spqaa2drbk37fxz0ohl8zeu64voqsyr03ehyn7jd8x9u-t5spw.zggjxon2l3xmu0bwl1743460320@fzdongbai.com>,phishing,2025-03-31T22:32:07Z
<be3e4d96-7a95-4829-8307-17854a6bd7a4@mtl-mta03-out2>,phishing,2025-03-31T22:28:03Z
<20250331221546.4ef9d45b03841651@us.creditformerchants.com>,phishing,2025-03-31T22:25:53Z
<CAPG2Fui9-ObiPtUDOSk8QTE44bfe88vKy2rPhu-yJScBk=Y3Wg@mail.gmail.com>,scam,2025-03-31T22:25:39Z
<5bcf011e-5968-4c42-8d21-cb47dc1d6c8e@iad4s13mta1143.xt.local>,bec,2025-03-31T22:25:19Z
<f6f43dd3-69c7-410c-8beb-73c0d2f8be02@iad4s13mta1147.xt.local>,bec,2025-03-31T22:25:18Z
<1B.91.21592.4261BE76@i-09d2e29c6e4e39116.mta1vrest.sd.prd.sparkpost>,phishing,2025-03-31T22:25:11Z
<CY5PR19MB6242C63BAB9B1D25B2708FB7A9AD2@CY5PR19MB6242.namprd19.prod.outlook.com>,scam,2025-03-31T22:24:49Z
<20250331114246.43DDF2EC7FB1@kes.vimosagoodyear.com.mx>,scam,2025-03-31T22:24:04Z
<CAJ2OiORKU1X-UNwuTre7pV5u=qwxgDv3RWHXJnO4D5ZACNooWg@mail.gmail.com>,scam,2025-03-31T22:22:31Z
<CAG1i-4vfxEar_aFiRAYmAU56qhJ1OaGiYLw66UE9z83FLd202g@mail.gmail.com>,scam,2025-03-31T22:20:26Z
<493BF88135FC4FFCA301845C771B15C8@MTIAPRDASSEIIS1>,phishing,2025-03-31T22:20:21Z
