MessageID,Verdict,Received
<8eac8559-c1c6-47ce-bbd4-ec8bbefffbb4@mtl-mta03-out2>,phishing,2025-03-24T12:14:54Z
<8eac8559-c1c6-47ce-bbd4-ec8bbefffbb4@mtl-mta03-out2>,phishing,2025-03-24T12:14:54Z
<d322eb1d-13ae-4682-8036-84beb7b91aa2@mtl-mta03-out2>,phishing,2025-03-24T12:12:46Z
<16be7d8e-fd31-sl68-4dc5-8fc4-7034335f0489@cursosycapacitacion.es>,phishing,2025-03-24T12:07:24Z
<ed06575d-b585-sl55-4e40-bb0f-1f2a114b76f4@cursosactualizados.com>,phishing,2025-03-24T12:06:19Z
<6ee13302-4c68-sl22-4805-b69b-9d42b5bfe92a@capacitacioninterna.es>,phishing,2025-03-24T12:06:01Z
<c53a0cc4-338f-sl81-43a5-94aa-c77512621795@capacitacioninterna.es>,phishing,2025-03-24T12:05:34Z
"<Share-31a38da1-809c-c000-27b1-2bff9e5c1ee3,31a38da1-809c-c000-27b1-2bff9e5c1ee3-f0d21ebe-ef41-4e4d-a9ba-a8304a750ab7-3b2017af-2aec-4aa7-8a77-283d673b361c-r0-SendEmail@odspnotify>",phishing,2025-03-24T12:01:59Z
<ab474807-5631-445c-a5fc-25e8644da0bf@mtl-mta03-out2>,phishing,2025-03-24T12:01:59Z
<CAPXC5mmqGPUgd2iuHNJ_SUqr88cUKgKuAhiR+vKpFnq8=CeR1Q@mail.gmail.com>,scam,2025-03-24T11:58:06Z
<174281744745.941032.6894339727899560610@tradesmart24.pl>,phishing,2025-03-24T11:57:45Z
<174281623702.353963.722634184911152873@etarget24.pl>,phishing,2025-03-24T11:57:19Z
<0470e164-d1cb-4242-8296-3e44fc574bf3@mtl-mta03-out2>,phishing,2025-03-24T11:57:14Z
"<Share-dfa28da1-8032-8000-66fe-c0938810e18c,dfa28da1-8032-8000-66fe-c0938810e18c-c8c8a022-94a2-4ac4-912b-82a005af3382-cfbf8304-e98b-4e78-9dbc-ae54a5aa76b4-r0-SendEmail@odspnotify>",phishing,2025-03-24T11:55:22Z
<I0Q76ZVQ-8MHL-8R2D-F2TC-JAO4SY7TI7VR@gmail.com>,scam,2025-03-24T11:53:21Z
<B7V2SINY-OZ6J-KEG-4V4U-PVB8IG1GWBF8@gmail.com>,scam,2025-03-24T11:53:16Z
<80HTEOFX-QETD-3325-4ZRM-2KOK0NJXR0PO@gmail.com>,scam,2025-03-24T11:53:02Z
<1QJSTHIL-B0A-O0P8-FHLB-634N5K278MZ@gmail.com>,scam,2025-03-24T11:52:57Z
<CAJv2mZe2KLkYQRy3_--D9K6mONCky25gRNkENEUH=b9pXnUjEQ@mail.gmail.com>,scam,2025-03-24T11:50:55Z
<20250324095324.68BACBFB7999FB53@burtintemational.com>,phishing,2025-03-24T11:49:22Z
"<Share-78a28da1-7093-c000-27b1-250b8c42fdaf,78a28da1-7093-c000-27b1-250b8c42fdaf-6f95da06-83d4-4951-b184-880e2b56558d-94a567c3-6d9f-4a45-a406-c5e305deab01-r0-SendEmail@odspnotify>",phishing,2025-03-24T11:49:20Z
<I80EWKKB-3JOB-Q6S-J8W8-XQXGLU4C3EJ@gmail.com>,scam,2025-03-24T11:49:07Z
<5X6Q2D2L-T315-M50X-0KZF-DKJI635P3X77@gmail.com>,scam,2025-03-24T11:48:45Z
<EBRHVIW-OI52-TSA0-Q47H-HNS6JKNXHNGV@gmail.com>,scam,2025-03-24T11:48:30Z
<2902713d-9af9-sl59-4b0c-9d36-900c7774b085@programasespecializados.es>,phishing,2025-03-24T11:46:25Z
<c895e1ad-624a-sl89-4038-9f6a-29cc53265a85@programasespecializados.es>,phishing,2025-03-24T11:46:21Z
